continent,gnp
Asia,5976.0
Asia,37966.0
Asia,1813.0
Asia,4127.0
Asia,32852.0
Asia,6366.0
Asia,11705.0
Asia,372.0
Asia,982268.0
Asia,9333.0
Asia,6064.0
Asia,166448.0
Asia,84982.0
Asia,447114.0
Asia,195746.0
Asia,11500.0
Asia,97477.0
Asia,7526.0
Asia,3787042.0
Asia,24375.0
Asia,1626.0
Asia,5121.0
Asia,320749.0
Asia,27037.0
Asia,1292.0
Asia,17121.0
Asia,15706.0
Asia,5749.0
Asia,199.0
Asia,180375.0
Asia,1043.0
Asia,69213.0
Asia,4768.0
Asia,16904.0
Asia,61289.0
Asia,65107.0
Asia,5332.0
Asia,4173.0
Asia,9472.0
Asia,137635.0
Asia,86503.0
Asia,65984.0
Asia,116416.0
Asia,1990.0
Asia,4397.0
Asia,0.0
Asia,210721.0
Asia,256254.0
Asia,14194.0
Asia,21929.0
Asia,6041.0
Europe,3205.0
Europe,1630.0
Europe,211860.0
Europe,249704.0
Europe,12178.0
Europe,2841.0
Europe,13714.0
Europe,264478.0
Europe,55017.0
Europe,2133367.0
Europe,174099.0
Europe,553233.0
Europe,5328.0
Europe,121914.0
Europe,1424285.0
Europe,0.0
Europe,1378330.0
Europe,258.0
Europe,120724.0
Europe,20208.0
Europe,48267.0
Europe,75921.0
Europe,8255.0
Europe,1161755.0
Europe,1119.0
Europe,10692.0
Europe,16321.0
Europe,6398.0
Europe,776.0
Europe,1579.0
Europe,1694.0
Europe,3512.0
Europe,371362.0
Europe,145895.0
Europe,151697.0
Europe,105954.0
Europe,38158.0
Europe,276608.0
Europe,0.0
Europe,510.0
Europe,20594.0
Europe,19756.0
Europe,226492.0
Europe,42168.0
Europe,9.0
Europe,17000.0
North America,828.0
North America,63.2
North America,1941.0
North America,612.0
North America,3527.0
North America,630.0
North America,2328.0
North America,2223.0
North America,598862.0
North America,10226.0
North America,17843.0
North America,1263.0
North America,256.0
North America,15846.0
North America,3501.0
North America,318.0
North America,0.0
North America,19008.0
North America,5333.0
North America,3459.0
North America,6871.0
North America,299.0
North America,571.0
North America,414972.0
North America,109.0
North America,2731.0
North America,1988.0
North America,9131.0
North America,34100.0
North America,11863.0
North America,0.0
North America,96.0
North America,6232.0
North America,8510700.0
North America,285.0
North America,612.0
North America,0.0
Africa,6648.0
Africa,903.0
Africa,2357.0
Africa,2425.0
Africa,4834.0
Africa,1054.0
Africa,11345.0
Africa,9174.0
Africa,6964.0
Africa,2108.0
Africa,4401.0
Africa,435.0
Africa,382.0
Africa,49982.0
Africa,82710.0
Africa,650.0
Africa,60.0
Africa,6353.0
Africa,5493.0
Africa,7137.0
Africa,2352.0
Africa,320.0
Africa,293.0
Africa,283.0
Africa,0.0
Africa,9217.0
Africa,2012.0
Africa,44806.0
Africa,1061.0
Africa,36124.0
Africa,3750.0
Africa,2642.0
Africa,2891.0
Africa,998.0
Africa,4251.0
Africa,1687.0
Africa,0.0
Africa,3101.0
Africa,1706.0
Africa,65707.0
Africa,8287.0
Africa,2036.0
Africa,10162.0
Africa,4787.0
Africa,0.0
Africa,746.0
Africa,935.0
Africa,6.0
Africa,1206.0
Africa,536.0
Africa,1208.0
Africa,1449.0
Africa,20026.0
Africa,8005.0
Africa,6313.0
Africa,116729.0
Africa,3377.0
Africa,5951.0
